"""source""","""sourceLabel""","""target""","""targetLabel""","""relationType"""
"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://lib.ccmusic.edu.cn/data/place/140300""",阳泉市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://lib.ccmusic.edu.cn/data/place/130600""",保定市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://lib.ccmusic.edu.cn/data/place/140900""",忻州市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://lib.ccmusic.edu.cn/data/place/140700""",晋中市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://lib.ccmusic.edu.cn/data/place/131100""",衡水市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://lib.ccmusic.edu.cn/data/place/140700""",晋中市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://lib.ccmusic.edu.cn/data/place/131100""",衡水市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://lib.ccmusic.edu.cn/data/place/371400""",德州市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://lib.ccmusic.edu.cn/data/place/130400""",邯郸市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://lib.ccmusic.edu.cn/data/place/371500""",聊城市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130600""",保定市,"""https://lib.ccmusic.edu.cn/data/place/140900""",忻州市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130600""",保定市,"""https://lib.ccmusic.edu.cn/data/place/140200""",大同市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130600""",保定市,"""https://lib.ccmusic.edu.cn/data/place/130900""",沧州市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130600""",保定市,"""https://lib.ccmusic.edu.cn/data/place/131100""",衡水市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130600""",保定市,"""https://lib.ccmusic.edu.cn/data/place/131000""",廊坊市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130600""",保定市,"""https://lib.ccmusic.edu.cn/data/place/110100""",北京市(市),"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130600""",保定市,"""https://lib.ccmusic.edu.cn/data/place/130700""",张家口市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/131100""",衡水市,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/131100""",衡水市,"""https://lib.ccmusic.edu.cn/data/place/130900""",沧州市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/131100""",衡水市,"""https://lib.ccmusic.edu.cn/data/place/130600""",保定市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/131100""",衡水市,"""https://lib.ccmusic.edu.cn/data/place/371400""",德州市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140300""",阳泉市,"""https://lib.ccmusic.edu.cn/data/place/140700""",晋中市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140300""",阳泉市,"""https://lib.ccmusic.edu.cn/data/place/140100""",太原市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140300""",阳泉市,"""https://lib.ccmusic.edu.cn/data/place/140900""",忻州市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140700""",晋中市,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140700""",晋中市,"""https://lib.ccmusic.edu.cn/data/place/140400""",长治市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140700""",晋中市,"""https://lib.ccmusic.edu.cn/data/place/130400""",邯郸市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140700""",晋中市,"""https://lib.ccmusic.edu.cn/data/place/141100""",吕梁市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140700""",晋中市,"""https://lib.ccmusic.edu.cn/data/place/141000""",临汾市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140700""",晋中市,"""https://lib.ccmusic.edu.cn/data/place/140100""",太原市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140700""",晋中市,"""https://lib.ccmusic.edu.cn/data/place/140300""",阳泉市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140900""",忻州市,"""https://lib.ccmusic.edu.cn/data/place/140100""",太原市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140900""",忻州市,"""https://lib.ccmusic.edu.cn/data/place/150100""",呼和浩特市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140900""",忻州市,"""https://lib.ccmusic.edu.cn/data/place/140300""",阳泉市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140900""",忻州市,"""https://lib.ccmusic.edu.cn/data/place/140200""",大同市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140900""",忻州市,"""https://lib.ccmusic.edu.cn/data/place/140600""",朔州市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140900""",忻州市,"""https://lib.ccmusic.edu.cn/data/place/130600""",保定市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140900""",忻州市,"""https://lib.ccmusic.edu.cn/data/place/150600""",鄂尔多斯市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140900""",忻州市,"""https://lib.ccmusic.edu.cn/data/place/610800""",榆林市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/140900""",忻州市,"""https://lib.ccmusic.edu.cn/data/place/141100""",吕梁市,"""https://www.geonames.org/ontology#neighbour"""
"""https://lib.ccmusic.edu.cn/data/place/130102""",石家庄市-长安区,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130104""",石家庄市-桥西区,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130105""",石家庄市-新华区,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130107""",井陉矿区,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130108""",裕华区,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130109""",藁城区,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130110""",鹿泉区,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130111""",栾城区,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130121""",井陉县,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130123""",正定县,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130125""",行唐县,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130126""",灵寿县,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130127""",高邑县,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130128""",深泽县,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130129""",赞皇县,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130130""",无极县,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130131""",平山县,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130132""",元氏县,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130133""",赵县,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130181""",辛集市,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130183""",晋州市,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130184""",新乐市,"""https://lib.ccmusic.edu.cn/data/place/130100""",石家庄市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130502""",襄都区,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130503""",信都区,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130505""",任泽区,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130506""",南和区,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130522""",临城县,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130523""",内丘县,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130524""",柏乡县,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130525""",隆尧县,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130528""",宁晋县,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130529""",巨鹿县,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130530""",新河县,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130531""",广宗县,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130532""",平乡县,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130533""",威县,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130534""",清河县,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130535""",临西县,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130581""",南宫市,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130582""",沙河市,"""https://lib.ccmusic.edu.cn/data/place/130500""",邢台市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130602""",竞秀区,"""https://lib.ccmusic.edu.cn/data/place/130600""",保定市,"""https://www.geonames.org/ontology#parentADM2"""
"""https://lib.ccmusic.edu.cn/data/place/130606""",莲池区,"""https://lib.ccmusic.edu.cn/data/place/130600""",保定市,"""https://www.geonames.org/ontology#parentADM2"""
